# R [Å] 	 single electron WF 	 density 	 V [a.u.]
2.02569e+00	3.42970e-01	2.35256e-01	-2.12880e-01
2.03804e+00	3.39084e-01	2.29956e-01	-2.10405e-01
2.05040e+00	3.35236e-01	2.24767e-01	-2.07967e-01
2.06275e+00	3.31425e-01	2.19685e-01	-2.05566e-01
2.07510e+00	3.27651e-01	2.14710e-01	-2.03200e-01
2.08745e+00	3.23913e-01	2.09840e-01	-2.00869e-01
2.09980e+00	3.20212e-01	2.05072e-01	-1.98572e-01
2.11215e+00	3.16547e-01	2.00405e-01	-1.96309e-01
2.12451e+00	3.12919e-01	1.95836e-01	-1.94078e-01
2.13686e+00	3.09326e-01	1.91365e-01	-1.91880e-01
2.14921e+00	3.05769e-01	1.86989e-01	-1.89713e-01
2.16156e+00	3.02247e-01	1.82707e-01	-1.87576e-01
2.17391e+00	2.98761e-01	1.78516e-01	-1.85470e-01
2.18626e+00	2.95310e-01	1.74416e-01	-1.83394e-01
2.19862e+00	2.91893e-01	1.70403e-01	-1.81346e-01
2.21097e+00	2.88511e-01	1.66478e-01	-1.79327e-01
2.22332e+00	2.85164e-01	1.62637e-01	-1.77335e-01
2.23567e+00	2.81851e-01	1.58880e-01	-1.75371e-01
2.24802e+00	2.78572e-01	1.55204e-01	-1.73434e-01
2.26038e+00	2.75326e-01	1.51609e-01	-1.71523e-01
2.27273e+00	2.72114e-01	1.48092e-01	-1.69638e-01
2.28508e+00	2.68935e-01	1.44652e-01	-1.67779e-01
2.29743e+00	2.65789e-01	1.41288e-01	-1.65944e-01
2.30978e+00	2.62676e-01	1.37998e-01	-1.64133e-01
2.32213e+00	2.59596e-01	1.34780e-01	-1.62347e-01
2.33449e+00	2.56548e-01	1.31633e-01	-1.60584e-01
2.34684e+00	2.53531e-01	1.28556e-01	-1.58844e-01
2.35919e+00	2.50547e-01	1.25548e-01	-1.57127e-01
2.37154e+00	2.47594e-01	1.22606e-01	-1.55432e-01
2.38389e+00	2.44673e-01	1.19730e-01	-1.53759e-01
2.39625e+00	2.41783e-01	1.16918e-01	-1.52108e-01
2.40860e+00	2.38923e-01	1.14168e-01	-1.50477e-01
2.42095e+00	2.36094e-01	1.11481e-01	-1.48868e-01
2.43330e+00	2.33296e-01	1.08854e-01	-1.47279e-01
2.44565e+00	2.30527e-01	1.06285e-01	-1.45710e-01
2.45800e+00	2.27788e-01	1.03775e-01	-1.44160e-01
2.47036e+00	2.25079e-01	1.01321e-01	-1.42630e-01
2.48271e+00	2.22400e-01	9.89233e-02	-1.41120e-01
2.49506e+00	2.19749e-01	9.65794e-02	-1.39627e-01
2.50741e+00	2.17127e-01	9.42887e-02	-1.38154e-01
2.51976e+00	2.14534e-01	9.20500e-02	-1.36698e-01
2.53211e+00	2.11970e-01	8.98623e-02	-1.35261e-01
2.54447e+00	2.09433e-01	8.77244e-02	-1.33841e-01
2.55682e+00	2.06924e-01	8.56354e-02	-1.32438e-01
2.56917e+00	2.04443e-01	8.35941e-02	-1.31052e-01
2.58152e+00	2.01990e-01	8.15996e-02	-1.29683e-01
2.59387e+00	1.99563e-01	7.96508e-02	-1.28331e-01
2.60623e+00	1.97163e-01	7.77468e-02	-1.26995e-01
2.61858e+00	1.94790e-01	7.58866e-02	-1.25675e-01
2.63093e+00	1.92444e-01	7.40692e-02	-1.24370e-01
2.64328e+00	1.90123e-01	7.22938e-02	-1.23081e-01
2.65563e+00	1.87829e-01	7.05594e-02	-1.21807e-01
2.66798e+00	1.85560e-01	6.88651e-02	-1.20548e-01
2.68034e+00	1.83317e-01	6.72101e-02	-1.19304e-01
2.69269e+00	1.81099e-01	6.55935e-02	-1.18075e-01
2.70504e+00	1.78906e-01	6.40144e-02	-1.16860e-01
2.71739e+00	1.76737e-01	6.24720e-02	-1.15659e-01
2.72974e+00	1.74593e-01	6.09656e-02	-1.14472e-01
2.74209e+00	1.72474e-01	5.94943e-02	-1.13299e-01
2.75445e+00	1.70378e-01	5.80574e-02	-1.12139e-01
2.76680e+00	1.68306e-01	5.66540e-02	-1.10992e-01
2.77915e+00	1.66258e-01	5.52835e-02	-1.09859e-01
2.79150e+00	1.64233e-01	5.39451e-02	-1.08739e-01
2.80385e+00	1.62231e-01	5.26381e-02	-1.07631e-01
2.81621e+00	1.60253e-01	5.13618e-02	-1.06536e-01
2.82856e+00	1.58296e-01	5.01155e-02	-1.05454e-01
2.84091e+00	1.56363e-01	4.88986e-02	-1.04384e-01
2.85326e+00	1.54451e-01	4.77104e-02	-1.03325e-01
2.86561e+00	1.52562e-01	4.65502e-02	-1.02279e-01
2.87796e+00	1.50694e-01	4.54174e-02	-1.01244e-01
2.89032e+00	1.48848e-01	4.43113e-02	-1.00221e-01
2.90267e+00	1.47023e-01	4.32315e-02	-9.92097e-02
2.91502e+00	1.45219e-01	4.21773e-02	-9.82093e-02
2.92737e+00	1.43436e-01	4.11480e-02	-9.72200e-02
2.93972e+00	1.41674e-01	4.01432e-02	-9.62417e-02
2.95208e+00	1.39933e-01	3.91623e-02	-9.52742e-02
2.96443e+00	1.38211e-01	3.82048e-02	-9.43173e-02
2.97678e+00	1.36510e-01	3.72700e-02	-9.33710e-02
2.98913e+00	1.34829e-01	3.63575e-02	-9.24351e-02
3.00148e+00	1.33167e-01	3.54668e-02	-9.15094e-02
3.01383e+00	1.31524e-01	3.45974e-02	-9.05938e-02
3.02619e+00	1.29901e-01	3.37487e-02	-8.96881e-02
3.03854e+00	1.28297e-01	3.29204e-02	-8.87924e-02
3.05089e+00	1.26712e-01	3.21119e-02	-8.79063e-02
3.06324e+00	1.25146e-01	3.13228e-02	-8.70299e-02
3.07559e+00	1.23597e-01	3.05527e-02	-8.61629e-02
3.08794e+00	1.22068e-01	2.98010e-02	-8.53053e-02
3.10030e+00	1.20556e-01	2.90674e-02	-8.44569e-02
3.11265e+00	1.19062e-01	2.83514e-02	-8.36176e-02
3.12500e+00	1.17586e-01	2.76527e-02	-8.27873e-02
3.13735e+00	1.16127e-01	2.69708e-02	-8.19659e-02
3.14970e+00	1.14685e-01	2.63054e-02	-8.11532e-02
3.16206e+00	1.13261e-01	2.56560e-02	-8.03493e-02
3.17441e+00	1.11853e-01	2.50224e-02	-7.95539e-02
3.18676e+00	1.10463e-01	2.44040e-02	-7.87669e-02
3.19911e+00	1.09088e-01	2.38006e-02	-7.79883e-02
3.21146e+00	1.07731e-01	2.32118e-02	-7.72179e-02
3.22381e+00	1.06389e-01	2.26373e-02	-7.64557e-02
3.23617e+00	1.05064e-01	2.20767e-02	-7.57015e-02
3.24852e+00	1.03754e-01	2.15297e-02	-7.49552e-02
3.26087e+00	1.02460e-01	2.09960e-02	-7.42168e-02
3.27322e+00	1.01181e-01	2.04753e-02	-7.34862e-02
3.28557e+00	9.99181e-02	1.99672e-02	-7.27632e-02
3.29792e+00	9.86701e-02	1.94716e-02	-7.20478e-02
3.31028e+00	9.74370e-02	1.89879e-02	-7.13398e-02
3.32263e+00	9.62188e-02	1.85161e-02	-7.06392e-02
3.33498e+00	9.50152e-02	1.80558e-02	-6.99460e-02
3.34733e+00	9.38262e-02	1.76067e-02	-6.92599e-02
3.35968e+00	9.26515e-02	1.71686e-02	-6.85810e-02
3.37204e+00	9.14909e-02	1.67412e-02	-6.79091e-02
3.38439e+00	9.03444e-02	1.63242e-02	-6.72442e-02
3.39674e+00	8.92118e-02	1.59175e-02	-6.65861e-02
3.40909e+00	8.80928e-02	1.55207e-02	-6.59349e-02
3.42144e+00	8.69874e-02	1.51336e-02	-6.52903e-02
3.43379e+00	8.58954e-02	1.47560e-02	-6.46524e-02
3.44615e+00	8.48167e-02	1.43877e-02	-6.40211e-02
3.45850e+00	8.37510e-02	1.40285e-02	-6.33963e-02
3.47085e+00	8.26983e-02	1.36780e-02	-6.27778e-02
3.48320e+00	8.16584e-02	1.33362e-02	-6.21657e-02
3.49555e+00	8.06312e-02	1.30028e-02	-6.15599e-02
3.50791e+00	7.96164e-02	1.26775e-02	-6.09603e-02
3.52026e+00	7.86140e-02	1.23603e-02	-6.03668e-02
3.53261e+00	7.76239e-02	1.20509e-02	-5.97793e-02
3.54496e+00	7.66458e-02	1.17492e-02	-5.91978e-02
3.55731e+00	7.56797e-02	1.14548e-02	-5.86223e-02
3.56966e+00	7.47254e-02	1.11678e-02	-5.80526e-02
3.58202e+00	7.37828e-02	1.08878e-02	-5.74886e-02
3.59437e+00	7.28517e-02	1.06147e-02	-5.69304e-02
3.60672e+00	7.19320e-02	1.03484e-02	-5.63779e-02
3.61907e+00	7.10236e-02	1.00887e-02	-5.58309e-02
3.63142e+00	7.01264e-02	9.83542e-03	-5.52895e-02
3.64377e+00	6.92402e-02	9.58840e-03	-5.47536e-02
3.65613e+00	6.83648e-02	9.34749e-03	-5.42230e-02
3.66848e+00	6.75002e-02	9.11256e-03	-5.36978e-02
3.68083e+00	6.66462e-02	8.88344e-03	-5.31779e-02
3.69318e+00	6.58028e-02	8.66002e-03	-5.26632e-02
3.70553e+00	6.49697e-02	8.44214e-03	-5.21537e-02
3.71789e+00	6.41470e-02	8.22966e-03	-5.16493e-02
3.73024e+00	6.33343e-02	8.02247e-03	-5.11500e-02
3.74259e+00	6.25317e-02	7.82043e-03	-5.06557e-02
3.75494e+00	6.17390e-02	7.62341e-03	-5.01663e-02
3.76729e+00	6.09561e-02	7.43129e-03	-4.96818e-02
3.77964e+00	6.01829e-02	7.24395e-03	-4.92022e-02
3.79200e+00	5.94192e-02	7.06128e-03	-4.87273e-02
3.80435e+00	5.86650e-02	6.88316e-03	-4.82572e-02
3.81670e+00	5.79201e-02	6.70948e-03	-4.77918e-02
3.82905e+00	5.71845e-02	6.54013e-03	-4.73310e-02
3.84140e+00	5.64580e-02	6.37500e-03	-4.68748e-02
